Menmonique;paramètres;;;;opcode;;;;extension
CVTPS2PI;mm;xmm/m64;;;0F;;2D;;r
CVTSS2SI;r32;xmm/m32;;;0F;F3;2D;;r
CVTPD2PI;mm;xmm/m128;;;0F;66;2D;;r
CVTSD2SI;r32;xmm/m64;;;0F;F2;2D;;r
UCOMISS;xmm;xmm/m32;;;0F;;2E;;r
UCOMISD;xmm;xmm/m64;;;0F;66;2E;;r
COMISS;xmm;xmm/m32;;;0F;;2F;;r
COMISD;xmm;xmm/m64;;;0F;66;2F;;r
WRMSR;MSR;ECX;EAX;EDX;0F;;30;;
RDTSC;EAX;EDX;IA32_TIM…;;0F;;31;;
RDMSR;EAX;EDX;ECX;MSR;0F;;32;;
RDPMC;EAX;EDX;PMC;;0F;;33;;
SYSENTER;SS;ESP;IA32_SYS…;...;0F;;34;;
SYSEXIT;SS;eSP;IA32_SYS…;...;0F;;35;;
GETSEC;EAX;;;;0F;;37;;
PSHUFB;mm;mm/m64;;;0F;;38;0;r
PSHUFB;xmm;xmm/m128;;;0F;66;38;0;r
PHADDW;mm;mm/m64;;;0F;;38;1;r
PHADDW;xmm;xmm/m128;;;0F;66;38;1;r
PHADDD;mm;mm/m64;;;0F;;38;2;r
PHADDD;xmm;xmm/m128;;;0F;66;38;2;r
PHADDSW;mm;mm/m64;;;0F;;38;3;r
PHADDSW;xmm;xmm/m128;;;0F;66;38;3;r
PMADDUBSW;mm;mm/m64;;;0F;;38;4;r
PMADDUBSW;xmm;xmm/m128;;;0F;66;38;4;r
PHSUBW;mm;mm/m64;;;0F;;38;5;r
PHSUBW;xmm;xmm/m128;;;0F;66;38;5;r
PHSUBD;mm;mm/m64;;;0F;;38;6;r
PHSUBD;xmm;xmm/m128;;;0F;66;38;6;r
PHSUBSW;mm;mm/m64;;;0F;;38;7;r
PHSUBSW;xmm;xmm/m128;;;0F;66;38;7;r
PSIGNB;mm;mm/m64;;;0F;;38;8;r
PSIGNB;xmm;xmm/m128;;;0F;66;38;8;r
PSIGNW;mm;mm/m64;;;0F;;38;9;r
PSIGNW;xmm;xmm/m128;;;0F;66;38;9;r
PSIGND;mm;mm/m64;;;0F;;38;0A;r
PSIGND;xmm;xmm/m128;;;0F;66;38;0A;r
PMULHRSW;mm;mm/m64;;;0F;;38;0B;r
PMULHRSW;xmm;xmm/m128;;;0F;66;38;0B;r
PBLENDVB;xmm;xmm/m128;XMM0;;0F;66;38;10;r
BLENDVPS;xmm;xmm/m128;XMM0;;0F;66;38;14;r
BLENDVPD;xmm;xmm/m128;XMM0;;0F;66;38;15;r
PTEST;xmm;xmm/m128;;;0F;66;38;17;r
PABSB;mm;mm/m64;;;0F;;38;1C;r
PABSB;xmm;xmm/m128;;;0F;66;38;1C;r
PABSW;mm;mm/m64;;;0F;;38;1D;r
PABSW;xmm;xmm/m128;;;0F;66;38;1D;r
PABSD;mm;mm/m64;;;0F;;38;1E;r
PABSD;xmm;xmm/m128;;;0F;66;38;1E;r
PMOVSXBW;xmm;m64;;;0F;66;38;20;r
PMOVSXBW;xmm;xmm;;;0F;;;;
PMOVSXBD;xmm;m32;;;0F;66;38;21;r
PMOVSXBD;xmm;xmm;;;0F;;;;
PMOVSXBQ;xmm;m16;;;0F;66;38;22;r
PMOVSXBQ;xmm;xmm;;;0F;;;;
PMOVSXWD;xmm;m64;;;0F;66;38;23;r
PMOVSXWD;xmm;xmm;;;0F;;;;
PMOVSXWQ;xmm;m32;;;0F;66;38;24;r
PMOVSXWQ;xmm;xmm;;;0F;;;;
PMOVSXDQ;xmm;m64;;;0F;66;38;25;r
PMOVSXDQ;xmm;xmm;;;0F;;;;
PMULDQ;xmm;xmm/m128;;;0F;66;38;28;r
PCMPEQQ;xmm;xmm/m128;;;0F;66;38;29;r
MOVNTDQA;xmm;m128;;;0F;66;38;2A;r
PACKUSDW;xmm;xmm/m128;;;0F;66;38;2B;r
PMOVZXBW;xmm;m64;;;0F;66;38;30;r
PMOVZXBW;xmm;xmm;;;0F;;;;
PMOVZXBD;xmm;m32;;;0F;66;38;31;r
PMOVZXBD;xmm;xmm;;;0F;;;;
PMOVZXBQ;xmm;m16;;;0F;66;38;32;r
PMOVZXBQ;xmm;xmm;;;0F;;;;
PMOVZXWD;xmm;m64;;;0F;66;38;33;r
PMOVZXWD;xmm;xmm;;;0F;;;;
PMOVZXWQ;xmm;m32;;;0F;66;38;34;r
PMOVZXWQ;xmm;xmm;;;0F;;;;
PMOVZXDQ;xmm;m64;;;0F;66;38;35;r
PMOVZXDQ;xmm;xmm;;;0F;;;;
PCMPGTQ;xmm;xmm/m128;;;0F;66;38;37;r
PMINSB;xmm;xmm/m128;;;0F;66;38;38;r
PMINSD;xmm;xmm/m128;;;0F;66;38;39;r
PMINUW;xmm;xmm/m128;;;0F;66;38;3A;r
PMINUD;xmm;xmm/m128;;;0F;66;38;3B;r
PMAXSB;xmm;xmm/m128;;;0F;66;38;3C;r
PMAXSD;xmm;xmm/m128;;;0F;66;38;3D;r
PMAXUW;xmm;xmm/m128;;;0F;66;38;3E;r
PMAXUD;xmm;xmm/m128;;;0F;66;38;3F;r
PMULLD;xmm;xmm/m128;;;0F;66;38;40;r
PHMINPOSUW;xmm;xmm/m128;;;0F;66;38;41;r
INVEPT;r32;m128;;;0F;66;38;80;r
INVVPID;r32;m128;;;0F;66;38;81;r
MOVBE;r16/32;m16/32;;;0F;;38;F0;r
CRC32;r32;r/m8;;;0F;F2;38;F0;r
MOVBE;m16/32;r16/32;;;0F;;38;F1;r
CRC32;r32;r/m16/32;;;0F;F2;38;F1;r
ROUNDPS;xmm;xmm/m128;imm8;;0F;66;3A;8;r
ROUNDPD;xmm;xmm/m128;imm8;;0F;66;3A;9;r
ROUNDSS;xmm;xmm/m32;imm8;;0F;66;3A;0A;r
ROUNDSD;xmm;xmm/m64;imm8;;0F;66;3A;0B;r
BLENDPS;xmm;xmm/m128;imm8;;0F;66;3A;0C;r
BLENDPD;xmm;xmm/m128;imm8;;0F;66;3A;0D;r
PBLENDW;xmm;xmm/m128;imm8;;0F;66;3A;0E;r
PALIGNR;mm;mm/m64;;;0F;;3A;0F;r
PALIGNR;xmm;xmm/m128;;;0F;66;3A;0F;r
PEXTRB;m8;xmm;imm8;;0F;66;3A;14;r
PEXTRW;m16;xmm;imm8;;0F;66;3A;15;r
PEXTRD;r/m32;xmm;imm8;;0F;66;3A;16;r
PEXTRQ;r/m64;xmm;imm8;;0F;;;;
EXTRACTPS;r/m32;xmm;imm8;;0F;66;3A;17;r
PINSRB;xmm;m8;imm8;;0F;66;3A;20;r
PINSRB;xmm;r32;imm8;;0F;;;;
INSERTPS;xmm;m32;imm8;;0F;66;3A;21;r
INSERTPS;xmm;xmm;imm8;;0F;;;;
PINSRD;xmm;r/m32;imm8;;0F;66;3A;22;r
PINSRQ;xmm;r/m64;imm8;;0F;;;;
DPPS;xmm;xmm/m128;;;0F;66;3A;40;r
DPPD;xmm;xmm/m128;;;0F;66;3A;41;r
MPSADBW;xmm;xmm/m128;imm8;;0F;66;3A;42;r
PCMPESTRM;XMM0;xmm;xmm/m128;...;0F;66;3A;60;r
PCMPESTRI;ECX;xmm;xmm/m128;...;0F;66;3A;61;r
PCMPISTRM;XMM0;xmm;xmm/m128;imm8;0F;66;3A;62;r
PCMPISTRI;ECX;xmm;xmm/m128;imm8;0F;66;3A;63;r
CMOVO;r16/32;r/m16/32;;;0F;;40;;r
CMOVNO;r16/32;r/m16/32;;;0F;;41;;r
CMOVB;r16/32;r/m16/32;;;0F;;42;;r
CMOVNAE;r16/32;r/m16/32;;;0F;;42;;
CMOVC;r16/32;r/m16/32;;;0F;;42;;
CMOVNB;r16/32;r/m16/32;;;0F;;43;;r
CMOVAE;r16/32;r/m16/32;;;0F;;43;;
CMOVNC;r16/32;r/m16/32;;;0F;;43;;
CMOVZ;r16/32;r/m16/32;;;0F;;44;;r
CMOVE;r16/32;r/m16/32;;;0F;;44;;
CMOVNZ;r16/32;r/m16/32;;;0F;;45;;r
CMOVNE;r16/32;r/m16/32;;;0F;;45;;
CMOVBE;r16/32;r/m16/32;;;0F;;46;;r
CMOVNA;r16/32;r/m16/32;;;0F;;46;;
CMOVNBE;r16/32;r/m16/32;;;0F;;47;;r
CMOVA;r16/32;r/m16/32;;;0F;;47;;
CMOVS;r16/32;r/m16/32;;;0F;;48;;r
CMOVNS;r16/32;r/m16/32;;;0F;;49;;r
CMOVP;r16/32;r/m16/32;;;0F;;4A;;r
CMOVPE;r16/32;r/m16/32;;;0F;;4A;;
CMOVNP;r16/32;r/m16/32;;;0F;;4B;;r
CMOVPO;r16/32;r/m16/32;;;0F;;4B;;
CMOVL;r16/32;r/m16/32;;;0F;;4C;;r
CMOVNGE;r16/32;r/m16/32;;;0F;;4C;;
CMOVNL;r16/32;r/m16/32;;;0F;;4D;;r
CMOVGE;r16/32;r/m16/32;;;0F;;4D;;
CMOVLE;r16/32;r/m16/32;;;0F;;4E;;r
CMOVNG;r16/32;r/m16/32;;;0F;;4E;;
CMOVNLE;r16/32;r/m16/32;;;0F;;4F;;r
CMOVG;r16/32;r/m16/32;;;0F;;4F;;
MOVMSKPS;r32;xmm;;;0F;;50;;r
MOVMSKPD;r32;xmm;;;0F;66;50;;r
SQRTPS;xmm;xmm/m128;;;0F;;51;;r
SQRTSS;xmm;xmm/m32;;;0F;F3;51;;r
SQRTPD;xmm;xmm/m128;;;0F;66;51;;r
SQRTSD;xmm;xmm/m64;;;0F;F2;51;;r
RSQRTPS;xmm;xmm/m128;;;0F;;52;;r
RSQRTSS;xmm;xmm/m32;;;0F;F3;52;;r
RCPPS;xmm;xmm/m128;;;0F;;53;;r
RCPSS;xmm;xmm/m32;;;0F;F3;53;;r
ANDPS;xmm;xmm/m128;;;0F;;54;;r
ANDPD;xmm;xmm/m128;;;0F;66;54;;r
ANDNPS;xmm;xmm/m128;;;0F;;55;;r
ANDNPD;xmm;xmm/m128;;;0F;66;55;;r
ORPS;xmm;xmm/m128;;;0F;;56;;r
ORPD;xmm;xmm/m128;;;0F;66;56;;r
XORPS;xmm;xmm/m128;;;0F;;57;;r
XORPD;xmm;xmm/m128;;;0F;66;57;;r
ADDPS;xmm;xmm/m128;;;0F;;58;;r
ADDSS;xmm;xmm/m32;;;0F;F3;58;;r
ADDPD;xmm;xmm/m128;;;0F;66;58;;r
ADDSD;xmm;xmm/m64;;;0F;F2;58;;r
MULPS;xmm;xmm/m128;;;0F;;59;;r
MULSS;xmm;xmm/m32;;;0F;F3;59;;r
MULPD;xmm;xmm/m128;;;0F;66;59;;r
MULSD;xmm;xmm/m64;;;0F;F2;59;;r
CVTPS2PD;xmm;xmm/m128;;;0F;;5A;;r
CVTPD2PS;xmm;xmm/m128;;;0F;66;5A;;r
CVTSS2SD;xmm;xmm/m32;;;0F;F3;5A;;r
CVTSD2SS;xmm;xmm/m64;;;0F;F2;5A;;r
CVTDQ2PS;xmm;xmm/m128;;;0F;;5B;;r
CVTPS2DQ;xmm;xmm/m128;;;0F;66;5B;;r
CVTTPS2DQ;xmm;xmm/m128;;;0F;F3;5B;;r
SUBPS;xmm;xmm/m128;;;0F;;5C;;r
SUBSS;xmm;xmm/m32;;;0F;F3;5C;;r
SUBPD;xmm;xmm/m128;;;0F;66;5C;;r
SUBSD;xmm;xmm/m64;;;0F;F2;5C;;r
MINPS;xmm;xmm/m128;;;0F;;5D;;r
MINSS;xmm;xmm/m32;;;0F;F3;5D;;r
MINPD;xmm;xmm/m128;;;0F;66;5D;;r
MINSD;xmm;xmm/m64;;;0F;F2;5D;;r
DIVPS;xmm;xmm/m128;;;0F;;5E;;r
DIVSS;xmm;xmm/m32;;;0F;F3;5E;;r
DIVPD;xmm;xmm/m128;;;0F;66;5E;;r
DIVSD;xmm;xmm/m64;;;0F;F2;5E;;r
MAXPS;xmm;xmm/m128;;;0F;;5F;;r
MAXSS;xmm;xmm/m32;;;0F;F3;5F;;r
MAXPD;xmm;xmm/m128;;;0F;66;5F;;r
MAXSD;xmm;xmm/m64;;;0F;F2;5F;;r
PUNPCKLBW;mm;mm/m64;;;0F;;60;;r
PUNPCKLBW;xmm;xmm/m128;;;0F;66;60;;r
PUNPCKLWD;mm;mm/m64;;;0F;;61;;r
PUNPCKLWD;xmm;xmm/m128;;;0F;66;61;;r
PUNPCKLDQ;mm;mm/m64;;;0F;;62;;r
PUNPCKLDQ;xmm;xmm/m128;;;0F;66;62;;r
PACKSSWB;mm;mm/m64;;;0F;;63;;r
PACKSSWB;xmm;xmm/m128;;;0F;66;63;;r
PCMPGTB;mm;mm/m64;;;0F;;64;;r
PCMPGTB;xmm;xmm/m128;;;0F;66;64;;r
PCMPGTW;mm;mm/m64;;;0F;;65;;r
PCMPGTW;xmm;xmm/m128;;;0F;66;65;;r
PCMPGTD;mm;mm/m64;;;0F;;66;;r
PCMPGTD;xmm;xmm/m128;;;0F;66;66;;r
PACKUSWB;mm;mm/m64;;;0F;;67;;r
PACKUSWB;xmm;xmm/m128;;;0F;66;67;;r
PUNPCKHBW;mm;mm/m64;;;0F;;68;;r
PUNPCKHBW;xmm;xmm/m128;;;0F;66;68;;r
PUNPCKHWD;mm;mm/m64;;;0F;;69;;r
PUNPCKHWD;xmm;xmm/m128;;;0F;66;69;;r
PUNPCKHDQ;mm;mm/m64;;;0F;;6A;;r
PUNPCKHDQ;xmm;xmm/m128;;;0F;66;6A;;r
PACKSSDW;mm;mm/m64;;;0F;;6B;;r
PACKSSDW;xmm;xmm/m128;;;0F;66;6B;;r
PUNPCKLQDQ;xmm;xmm/m128;;;0F;66;6C;;r
PUNPCKHQDQ;xmm;xmm/m128;;;0F;66;6D;;r
MOVD;mm;r/m32;;;0F;;6E;;r
MOVD;xmm;r/m32;;;0F;66;6E;;r
MOVQ;mm;mm/m64;;;0F;;6F;;r
MOVDQA;xmm;xmm/m128;;;0F;66;6F;;r
MOVDQU;xmm;xmm/m128;;;0F;F3;6F;;r
PSHUFW;mm;mm/m64;imm8;;0F;;70;;r
PSHUFLW;xmm;xmm/m128;imm8;;0F;F2;70;;r
PSHUFHW;xmm;xmm/m128;imm8;;0F;F3;70;;r
PSHUFD;xmm;xmm/m128;imm8;;0F;66;70;;r
PSRLW;mm;imm8;;;0F;;71;;2
PSRLW;xmm;imm8;;;0F;66;71;;2
PSRAW;mm;imm8;;;0F;;71;;4
PSRAW;xmm;imm8;;;0F;66;71;;4
PSLLW;mm;imm8;;;0F;;71;;6
PSLLW;xmm;imm8;;;0F;66;71;;6
PSRLD;mm;imm8;;;0F;;72;;2
PSRLD;xmm;imm8;;;0F;66;72;;2
PSRAD;mm;imm8;;;0F;;72;;4
PSRAD;xmm;imm8;;;0F;66;72;;4
PSLLD;mm;imm8;;;0F;;72;;6
PSLLD;xmm;imm8;;;0F;66;72;;6
PSRLQ;mm;imm8;;;0F;;73;;2
PSRLQ;xmm;imm8;;;0F;66;73;;2
PSRLDQ;xmm;imm8;;;0F;66;73;;3
PSLLQ;mm;imm8;;;0F;;73;;6
PSLLQ;xmm;imm8;;;0F;66;73;;6
PSLLDQ;xmm;imm8;;;0F;66;73;;7
PCMPEQB;mm;mm/m64;;;0F;;74;;r
PCMPEQB;xmm;xmm/m128;;;0F;66;74;;r
PCMPEQW;mm;mm/m64;;;0F;;75;;r
PCMPEQW;xmm;xmm/m128;;;0F;66;75;;r
PCMPEQD;mm;mm/m64;;;0F;;76;;r
PCMPEQD;xmm;xmm/m128;;;0F;66;76;;r
EMMS;;;;;0F;;77;;
VMREAD;r/m32;r32;;;0F;;78;;r
VMWRITE;r32;r/m32;;;0F;;79;;r
HADDPD;xmm;xmm/m128;;;0F;66;7C;;r
HADDPS;xmm;xmm/m128;;;0F;F2;7C;;r
HSUBPD;xmm;xmm/m128;;;0F;66;7D;;r
HSUBPS;xmm;xmm/m128;;;0F;F2;7D;;r
MOVD;r/m32;mm;;;0F;;7E;;r
MOVD;r/m32;xmm;;;0F;66;7E;;r
MOVQ;xmm;xmm/m64;;;0F;F3;7E;;r
MOVQ;mm/m64;mm;;;0F;;7F;;r
MOVDQA;xmm/m128;xmm;;;0F;66;7F;;r
MOVDQU;xmm/m128;xmm;;;0F;F3;7F;;r
JO;rel16/32;;;;0F;;80;;
JNO;rel16/32;;;;0F;;81;;
JB;rel16/32;;;;0F;;82;;
JNAE;rel16/32;;;;0F;;82;;
JC;rel16/32;;;;0F;;82;;
JNB;rel16/32;;;;0F;;83;;
JAE;rel16/32;;;;0F;;83;;
JNC;rel16/32;;;;0F;;83;;
JZ;rel16/32;;;;0F;;84;;
JE;rel16/32;;;;0F;;84;;
JNZ;rel16/32;;;;0F;;85;;
JNE;rel16/32;;;;0F;;85;;
JBE;rel16/32;;;;0F;;86;;
JNA;rel16/32;;;;0F;;86;;
JNBE;rel16/32;;;;0F;;87;;
JA;rel16/32;;;;0F;;87;;
JS;rel16/32;;;;0F;;88;;
JNS;rel16/32;;;;0F;;89;;
JP;rel16/32;;;;0F;;8A;;
JPE;rel16/32;;;;0F;;8A;;
JNP;rel16/32;;;;0F;;8B;;
JPO;rel16/32;;;;0F;;8B;;
JL;rel16/32;;;;0F;;8C;;
JNGE;rel16/32;;;;0F;;8C;;
JNL;rel16/32;;;;0F;;8D;;
JGE;rel16/32;;;;0F;;8D;;
JLE;rel16/32;;;;0F;;8E;;
JNG;rel16/32;;;;0F;;8E;;
JNLE;rel16/32;;;;0F;;8F;;
JG;rel16/32;;;;0F;;8F;;
SETO;r/m8;;;;0F;;90;;0
SETNO;r/m8;;;;0F;;91;;0
SETB;r/m8;;;;0F;;92;;0
SETNAE;r/m8;;;;0F;;92;;
SETC;r/m8;;;;0F;;92;;
SETNB;r/m8;;;;0F;;93;;0
SETAE;r/m8;;;;0F;;93;;
SETNC;r/m8;;;;0F;;93;;
SETZ;r/m8;;;;0F;;94;;0
SETE;r/m8;;;;0F;;94;;
SETNZ;r/m8;;;;0F;;95;;0
SETNE;r/m8;;;;0F;;95;;
SETBE;r/m8;;;;0F;;96;;0
SETNA;r/m8;;;;0F;;96;;
SETNBE;r/m8;;;;0F;;97;;0
SETA;r/m8;;;;0F;;97;;
SETS;r/m8;;;;0F;;98;;0
SETNS;r/m8;;;;0F;;99;;0
SETP;r/m8;;;;0F;;9A;;0
SETPE;r/m8;;;;0F;;9A;;
SETNP;r/m8;;;;0F;;9B;;0
SETPO;r/m8;;;;0F;;9B;;
SETL;r/m8;;;;0F;;9C;;0
SETNGE;r/m8;;;;0F;;9C;;
SETNL;r/m8;;;;0F;;9D;;0
SETGE;r/m8;;;;0F;;9D;;
SETLE;r/m8;;;;0F;;9E;;0
SETNG;r/m8;;;;0F;;9E;;
SETNLE;r/m8;;;;0F;;9F;;0
SETG;r/m8;;;;0F;;9F;;
PUSH;FS;;;;0F;;A0;;
POP;FS;;;;0F;;A1;;
CPUID;IA32_BIOS_…;EAX;ECX;...;0F;;A2;;
BT;r/m16/32;r16/32;;;0F;;A3;;r
SHLD;r/m16/32;r16/32;imm8;;0F;;A4;;r
SHLD;r/m16/32;r16/32;CL;;0F;;A5;;r
PUSH;GS;;;;0F;;A8;;
POP;GS;;;;0F;;A9;;
RSM;Flags;;;;0F;;AA;;
BTS;r/m16/32;r16/32;;;0F;;AB;;r
SHRD;r/m16/32;r16/32;imm8;;0F;;AC;;r
SHRD;r/m16/32;r16/32;CL;;0F;;AD;;r
FXSAVE;m512;ST;ST1;...;0F;;AE;;0
FXRSTOR;ST;ST1;ST2;...;0F;;AE;;1
LDMXCSR;m32;;;;0F;;AE;;2
STMXCSR;m32;;;;0F;;AE;;3
XSAVE;m;EDX;EAX;...;0F;;AE;;4
LFENCE;;;;;0F;;AE;;5
XRSTOR;ST;ST1;ST2;...;0F;;AE;;5
MFENCE;;;;;0F;;AE;;6
SFENCE;;;;;0F;;AE;;7
CLFLUSH;m8;;;;0F;;AE;;7
IMUL;r16/32;r/m16/32;;;0F;;AF;;r
CMPXCHG;r/m8;AL;r8;;0F;;B0;;r
CMPXCHG;r/m16/32;eAX;r16/32;;0F;;B1;;r
LSS;SS;r16/32;m16:16/32;;0F;;B2;;r
BTR;r/m16/32;r16/32;;;0F;;B3;;r
LFS;FS;r16/32;m16:16/32;;0F;;B4;;r
LGS;GS;r16/32;m16:16/32;;0F;;B5;;r
MOVZX;r16/32;r/m8;;;0F;;B6;;r
MOVZX;r16/32;r/m16;;;0F;;B7;;r
POPCNT;r16/32;r/m16/32;;;0F;F3;B8;;r
UD;r;r/m;;;0F;;B9;;r
BT;r/m16/32;imm8;;;0F;;BA;;4
BTS;r/m16/32;imm8;;;0F;;BA;;5
BTR;r/m16/32;imm8;;;0F;;BA;;6
BTC;r/m16/32;imm8;;;0F;;BA;;7
BTC;r/m16/32;r16/32;;;0F;;BB;;r
BSF;r16/32;r/m16/32;;;0F;;BC;;r
BSR;r16/32;r/m16/32;;;0F;;BD;;r
MOVSX;r16/32;r/m8;;;0F;;BE;;r
MOVSX;r16/32;r/m16;;;0F;;BF;;r
XADD;r/m8;r8;;;0F;;C0;;r
XADD;r/m16/32;r16/32;;;0F;;C1;;r
CMPPS;xmm;xmm/m128;imm8;;0F;;C2;;r
CMPSS;xmm;xmm/m32;imm8;;0F;F3;C2;;r
CMPPD;xmm;xmm/m128;imm8;;0F;66;C2;;r
CMPSD;xmm;xmm/m64;imm8;;0F;F2;C2;;r
MOVNTI;m32;r32;;;0F;;C3;;r
PINSRW;mm;r32;imm8;;0F;;C4;;r
PINSRW;mm;m16;imm8;;0F;;;;
PINSRW;xmm;r32;imm8;;0F;66;C4;;r
PINSRW;xmm;m16;imm8;;0F;;;;
PEXTRW;r32;mm;imm8;;0F;;C5;;r
PEXTRW;r32;xmm;imm8;;0F;66;C5;;r
SHUFPS;xmm;xmm/m128;imm8;;0F;;C6;;r
SHUFPD;xmm;xmm/m128;imm8;;0F;66;C6;;r
CMPXCHG8B;m64;EAX;EDX;...;0F;;C7;;1
VMPTRLD;m64;;;;0F;;C7;;6
VMCLEAR;m64;;;;0F;66;C7;;6
VMXON;m64;;;;0F;F3;C7;;6
VMPTRST;m64;;;;0F;;C7;;7
BSWAP;r16/32;;;;0F;;C8+r;;
ADDSUBPD;xmm;xmm/m128;;;0F;66;D0;;r
ADDSUBPS;xmm;xmm/m128;;;0F;F2;D0;;r
PSRLW;mm;mm/m64;;;0F;;D1;;r
PSRLW;xmm;xmm/m128;;;0F;66;D1;;r
PSRLD;mm;mm/m64;;;0F;;D2;;r
PSRLD;xmm;xmm/m128;;;0F;66;D2;;r
PSRLQ;mm;mm/m64;;;0F;;D3;;r
PSRLQ;xmm;xmm/m128;;;0F;66;D3;;r
PADDQ;mm;mm/m64;;;0F;;D4;;r
PADDQ;xmm;xmm/m128;;;0F;66;D4;;r
PMULLW;mm;mm/m64;;;0F;;D5;;r
PMULLW;xmm;xmm/m128;;;0F;66;D5;;r
MOVQ;xmm/m64;xmm;;;0F;66;D6;;r
MOVQ2DQ;xmm;mm;;;0F;F3;D6;;r
MOVDQ2Q;mm;xmm;;;0F;F2;D6;;r
PMOVMSKB;r32;mm;;;0F;;D7;;r
PMOVMSKB;r32;xmm;;;0F;66;D7;;r
PSUBUSB;mm;mm/m64;;;0F;;D8;;r
PSUBUSB;xmm;xmm/m128;;;0F;66;D8;;r
PSUBUSW;mm;mm/m64;;;0F;;D9;;r
PSUBUSW;xmm;xmm/m128;;;0F;66;D9;;r
PMINUB;mm;mm/m64;;;0F;;DA;;r
PMINUB;xmm;xmm/m128;;;0F;66;DA;;r
PAND;mm;mm/m64;;;0F;;DB;;r
PAND;xmm;xmm/m128;;;0F;66;DB;;r
PADDUSB;mm;mm/m64;;;0F;;DC;;r
PADDUSB;xmm;xmm/m128;;;0F;66;DC;;r
PADDUSW;mm;mm/m64;;;0F;;DD;;r
PADDUSW;xmm;xmm/m128;;;0F;66;DD;;r
PMAXUB;mm;mm/m64;;;0F;;DE;;r
PMAXUB;xmm;xmm/m128;;;0F;66;DE;;r
PANDN;mm;mm/m64;;;0F;;DF;;r
PANDN;xmm;xmm/m128;;;0F;66;DF;;r
PAVGB;mm;mm/m64;;;0F;;E0;;r
PAVGB;xmm;xmm/m128;;;0F;66;E0;;r
PSRAW;mm;mm/m64;;;0F;;E1;;r
PSRAW;xmm;xmm/m128;;;0F;66;E1;;r
PSRAD;mm;mm/m64;;;0F;;E2;;r
PSRAD;xmm;xmm/m128;;;0F;66;E2;;r
PAVGW;mm;mm/m64;;;0F;;E3;;r
PAVGW;xmm;xmm/m128;;;0F;66;E3;;r
PMULHUW;mm;mm/m64;;;0F;;E4;;r
PMULHUW;xmm;xmm/m128;;;0F;66;E4;;r
PMULHW;mm;mm/m64;;;0F;;E5;;r
PMULHW;xmm;xmm/m128;;;0F;66;E5;;r
CVTPD2DQ;xmm;xmm/m128;;;0F;F2;E6;;r
CVTTPD2DQ;xmm;xmm/m128;;;0F;66;E6;;r
CVTDQ2PD;xmm;xmm/m128;;;0F;F3;E6;;r
MOVNTQ;m64;mm;;;0F;;E7;;r
MOVNTDQ;m128;xmm;;;0F;66;E7;;r
PSUBSB;mm;mm/m64;;;0F;;E8;;r
PSUBSB;xmm;xmm/m128;;;0F;66;E8;;r
PSUBSW;mm;mm/m64;;;0F;;E9;;r
PSUBSW;xmm;xmm/m128;;;0F;66;E9;;r
PMINSW;mm;mm/m64;;;0F;;EA;;r
PMINSW;xmm;xmm/m128;;;0F;66;EA;;r
POR;mm;mm/m64;;;0F;;EB;;r
POR;xmm;xmm/m128;;;0F;66;EB;;r
PADDSB;mm;mm/m64;;;0F;;EC;;r
PADDSB;xmm;xmm/m128;;;0F;66;EC;;r
PADDSW;mm;mm/m64;;;0F;;ED;;r
PADDSW;xmm;xmm/m128;;;0F;66;ED;;r
PMAXSW;mm;mm/m64;;;0F;;EE;;r
PMAXSW;xmm;xmm/m128;;;0F;66;EE;;r
PXOR;mm;mm/m64;;;0F;;EF;;r
PXOR;xmm;xmm/m128;;;0F;66;EF;;r
LDDQU;xmm;m128;;;0F;F2;F0;;r
PSLLW;mm;mm/m64;;;0F;;F1;;r
PSLLW;xmm;xmm/m128;;;0F;66;F1;;r
PSLLD;mm;mm/m64;;;0F;;F2;;r
PSLLD;xmm;xmm/m128;;;0F;66;F2;;r
PSLLQ;mm;mm/m64;;;0F;;F3;;r
PSLLQ;xmm;xmm/m128;;;0F;66;F3;;r
PMULUDQ;mm;mm/m64;;;0F;;F4;;r
PMULUDQ;xmm;xmm/m128;;;0F;66;F4;;r
PMADDWD;mm;mm/m64;;;0F;;F5;;r
PMADDWD;xmm;xmm/m128;;;0F;66;F5;;r
PSADBW;mm;mm/m64;;;0F;;F6;;r
PSADBW;xmm;xmm/m128;;;0F;66;F6;;r
MASKMOVQ;m64;mm;mm;;0F;;F7;;r
MASKMOVDQU;m128;xmm;xmm;;0F;66;F7;;r
PSUBB;mm;mm/m64;;;0F;;F8;;r
PSUBB;xmm;xmm/m128;;;0F;66;F8;;r
PSUBW;mm;mm/m64;;;0F;;F9;;r
PSUBW;xmm;xmm/m128;;;0F;66;F9;;r
PSUBD;mm;mm/m64;;;0F;;FA;;r
PSUBD;xmm;xmm/m128;;;0F;66;FA;;r
PSUBQ;mm;mm/m64;;;0F;;FB;;r
PSUBQ;xmm;xmm/m128;;;0F;66;FB;;r
PADDB;mm;mm/m64;;;0F;;FC;;r
PADDB;xmm;xmm/m128;;;0F;66;FC;;r
PADDW;mm;mm/m64;;;0F;;FD;;r
PADDW;xmm;xmm/m128;;;0F;66;FD;;r
PADDD;mm;mm/m64;;;0F;;FE;;r
PADDD;xmm;xmm/m128;;;0F;66;FE;;r
