Menmonique;paramètres;;;;opcode;;;;extension
XCHG;r16/32;r/m16/32;;;;;87;;r
MOV;r/m8;r8;;;;;88;;r
MOV;r/m16/32;r16/32;;;;;89;;r
MOV;r8;r/m8;;;;;8A;;r
MOV;r16/32;r/m16/32;;;;;8B;;r
MOV;m16;sreg;;;;;8C;;r
MOV;r16/32;sreg;;;;;8C;;
LEA;r16/32;m;;;;;8D;;r
MOV;sreg;r/m16;;;;;8E;;r
POP;r/m16/32;;;;;;8F;;0
XCHG;r16/32;eAX;;;;;90+r;;
NOP;;;;;;;90;;
PAUSE;;;;;;F3;90;;
CBW;AX;AL;;;;;98;;
CWDE;EAX;AX;;;;;98;;
CWD;DX;AX;;;;;99;;
CDQ;EDX;EAX;;;;;99;;
CALLF;ptr16:16/32;;;;;;9A;;
FWAIT;;;;;;;9B;;
WAIT;;;;;;;9B;;
PUSHF;Flags;;;;;;9C;;
PUSHFD;EFlags;;;;;;9C;;
POPF;Flags;;;;;;9D;;
POPFD;EFlags;;;;;;9D;;
SAHF;AH;;;;;;9E;;
LAHF;AH;;;;;;9F;;
MOV;AL;moffs8;;;;;A0;;
MOV;EAX;moffs16/32;;;;;A1;;
MOV;moffs8;AL;;;;;A2;;
MOV;moffs16/32;eAX;;;;;A3;;
MOVS;m8;m8;;;;;A4;;
MOVSB;m8;m8;;;;;A4;;
MOVS;m16;m16;;;;;A5;;
MOVSW;m16;m16;;;;;A5;;
MOVS;m16/32;m16/32;;;;;A5;;
MOVSD;m32;m32;;;;;A5;;
CMPS;m8;m8;;;;;A6;;
CMPSB;m8;m8;;;;;A6;;
CMPS;m16;m16;;;;;A7;;
CMPSW;m16;m16;;;;;A7;;
CMPS;m16/32;m16/32;;;;;A7;;
CMPSD;m32;m32;;;;;A7;;
TEST;AL;imm8;;;;;A8;;
TEST;eAX;imm16/32;;;;;A9;;
STOS;m8;AL;;;;;AA;;
STOSB;m8;AL;;;;;AA;;
STOS;m16;AX;;;;;AB;;
STOSW;m16;AX;;;;;AB;;
STOS;m16/32;eAX;;;;;AB;;
STOSD;m32;EAX;;;;;AB;;
LODS;AL;m8;;;;;AC;;
LODSB;AL;m8;;;;;AC;;
LODS;AX;m16;;;;;AD;;
LODSW;AX;m16;;;;;AD;;
LODS;eAX;m16/32;;;;;AD;;
LODSD;EAX;m32;;;;;AD;;
SCAS;m8;AL;;;;;AE;;
SCASB;m8;AL;;;;;AE;;
SCAS;m16;AX;;;;;AF;;
SCASW;m16;AX;;;;;AF;;
SCAS;m16/32;eAX;;;;;AF;;
SCASD;m32;EAX;;;;;AF;;
MOV;r8;imm8;;;;;B0+r;;
MOV;r16/32/64;imm16/32/64;;;;;B8+r;;
ROL;r/m8;imm8;;;;;C0;;0
ROR;r/m8;imm8;;;;;C0;;1
RCL;r/m8;imm8;;;;;C0;;2
RCR;r/m8;imm8;;;;;C0;;3
SHL;r/m8;imm8;;;;;C0;;4
SAL;r/m8;imm8;;;;;C0;;4
SHR;r/m8;imm8;;;;;C0;;5
SAL;r/m8;imm8;;;;;C0;;6
SHL;r/m8;imm8;;;;;C0;;6
SAR;r/m8;imm8;;;;;C0;;7
ROL;r/m16/32;imm8;;;;;C1;;0
ROR;r/m16/32;imm8;;;;;C1;;1
RCL;r/m16/32;imm8;;;;;C1;;2
RCR;r/m16/32;imm8;;;;;C1;;3
SHL;r/m16/32;imm8;;;;;C1;;4
SAL;r/m16/32;imm8;;;;;C1;;4
SHR;r/m16/32;imm8;;;;;C1;;5
SAL;r/m16/32;imm8;;;;;C1;;6
SHL;r/m16/32;imm8;;;;;C1;;6
SAR;r/m16/32;imm8;;;;;C1;;7
RET;imm16;;;;;;C2;;
RET;;;;;;;C3;;
LES;ES;r16/32;m16:16/32;;;;C4;;r
LDS;DS;r16/32;m16:16/32;;;;C5;;r
MOV;r/m8;imm8;;;;;C6;;0
MOV;r/m16/32;imm16/32/64;;;;;C7;;0
ENTER;eBP;imm16;imm8;;;;C8;;
LEAVE;eBP;;;;;;C9;;
RETF;imm16;;;;;;CA;;
RETF;;;;;;;CB;;
INT;3;eFlags;;;;;CC;;
INT;imm8;eFlags;;;;;CD;;
INTO;eFlags;;;;;;CE;;
IRET;Flags;;;;;;CF;;
IRETD;EFlags;;;;;;CF;;
ROL;r/m8;;;;;;D0;;0
ROR;r/m8;;;;;;D0;;1
RCL;r/m8;;;;;;D0;;2
RCR;r/m8;;;;;;D0;;3
SHL;r/m8;;;;;;D0;;4
SAL;r/m8;;;;;;D0;;4
SHR;r/m8;;;;;;D0;;5
SAL;r/m8;;;;;;D0;;6
SHL;r/m8;;;;;;D0;;6
SAR;r/m8;;;;;;D0;;7
ROL;r/m16/32;;;;;;D1;;0
ROR;r/m16/32;;;;;;D1;;1
RCL;r/m16/32;;;;;;D1;;2
RCR;r/m16/32;;;;;;D1;;3
SHL;r/m16/32;;;;;;D1;;4
SAL;r/m16/32;;;;;;D1;;4
SHR;r/m16/32;;;;;;D1;;5
SAL;r/m16/32;;;;;;D1;;6
SHL;r/m16/32;;;;;;D1;;6
SAR;r/m16/32;;;;;;D1;;7
ROL;r/m8;CL;;;;;D2;;0
ROR;r/m8;CL;;;;;D2;;1
RCL;r/m8;CL;;;;;D2;;2
RCR;r/m8;CL;;;;;D2;;3
SHL;r/m8;CL;;;;;D2;;4
SAL;r/m8;CL;;;;;D2;;4
SHR;r/m8;CL;;;;;D2;;5
SAL;r/m8;CL;;;;;D2;;6
SHL;r/m8;CL;;;;;D2;;6
SAR;r/m8;CL;;;;;D2;;7
ROL;r/m16/32;CL;;;;;D3;;0
ROR;r/m16/32;CL;;;;;D3;;1
RCL;r/m16/32;CL;;;;;D3;;2
RCR;r/m16/32;CL;;;;;D3;;3
SHL;r/m16/32;CL;;;;;D3;;4
SAL;r/m16/32;CL;;;;;D3;;4
SHR;r/m16/32;CL;;;;;D3;;5
SAL;r/m16/32;CL;;;;;D3;;6
SHL;r/m16/32;CL;;;;;D3;;6
SAR;r/m16/32;CL;;;;;D3;;7
AAM;AL;AH;;;;;D4;0A;
AMX;AL;AH;imm8;;;;D4;;
AAD;AL;AH;;;;;D5;0A;
ADX;AL;AH;imm8;;;;D5;;
SALC;AL;;;;;;D6;;
SETALC;AL;;;;;;D6;;
XLAT;AL;m8;;;;;D7;;
XLATB;AL;m8;;;;;D7;;
FADD;ST;m32real;;;;;D8;;0
FADD;ST;STi;;;;;D8;;0
FMUL;ST;m32real;;;;;D8;;1
FMUL;ST;STi;;;;;D8;;1
FCOM;ST;STi/m32real;;;;;D8;;2
FCOM;ST;ST1;;;;;D8;D1;2
FCOMP;ST;STi/m32real;;;;;D8;;3
FCOMP;ST;ST1;;;;;D8;D9;3
FSUB;ST;m32real;;;;;D8;;4
FSUB;ST;STi;;;;;D8;;4
FSUBR;ST;m32real;;;;;D8;;5
FSUBR;ST;STi;;;;;D8;;5
FDIV;ST;m32real;;;;;D8;;6
FDIV;ST;STi;;;;;D8;;6
FDIVR;ST;m32real;;;;;D8;;7
FDIVR;ST;STi;;;;;D8;;7
FLD;ST;STi/m32real;;;;;D9;;0
FXCH;ST;STi;;;;;D9;;1
FXCH;ST;ST1;;;;;D9;C9;1
FST;m32real;ST;;;;;D9;;2
FNOP;;;;;;;D9;D0;2
FSTP;m32real;ST;;;;;D9;;3
FSTP1;STi;ST;;;;;D9;;3
FLDENV;m14/28;;;;;;D9;;4
FCHS;ST;;;;;;D9;E0;4
FABS;ST;;;;;;D9;E1;4
FTST;ST;;;;;;D9;E4;4
FXAM;ST;;;;;;D9;E5;4
FLDCW;m16;;;;;;D9;;5
FLD1;ST;;;;;;D9;E8;5
FLDL2T;ST;;;;;;D9;E9;5
FLDL2E;ST;;;;;;D9;EA;5
FLDPI;ST;;;;;;D9;EB;5
FLDLG2;ST;;;;;;D9;EC;5
FLDLN2;ST;;;;;;D9;ED;5
FLDZ;ST;;;;;;D9;EE;5
FNSTENV;m14/28;;;;;;D9;;6
FSTENV;m14/28;;;;;9B;D9;;6
F2XM1;ST;;;;;;D9;F0;6
FYL2X;ST1;ST;;;;;D9;F1;6
FPTAN;ST;;;;;;D9;F2;6
FPATAN;ST1;ST;;;;;D9;F3;6
FXTRACT;ST;;;;;;D9;F4;6
FPREM1;ST;ST1;;;;;D9;F5;6
FDECSTP;;;;;;;D9;F6;6
FINCSTP;;;;;;;D9;F7;6
FNSTCW;m16;;;;;;D9;;7
FSTCW;m16;;;;;9B;D9;;7
FPREM;ST;ST1;;;;;D9;F8;7
FYL2XP1;ST1;ST;;;;;D9;F9;7
FSQRT;ST;;;;;;D9;FA;7
FSINCOS;ST;;;;;;D9;FB;7
FRNDINT;ST;;;;;;D9;FC;7
FSCALE;ST;ST1;;;;;D9;FD;7
FSIN;ST;;;;;;D9;FE;7
FCOS;ST;;;;;;D9;FF;7
FIADD;ST;m32int;;;;;DA;;0
FCMOVB;ST;STi;;;;;DA;;0
FIMUL;ST;m32int;;;;;DA;;1
FCMOVE;ST;STi;;;;;DA;;1
FICOM;ST;m32int;;;;;DA;;2
FCMOVBE;ST;STi;;;;;DA;;2
FICOMP;ST;m32int;;;;;DA;;3
FCMOVU;ST;STi;;;;;DA;;3
FISUB;ST;m32int;;;;;DA;;4
FISUBR;ST;m32int;;;;;DA;;5
FUCOMPP;ST;ST1;;;;;DA;E9;5
FIDIV;ST;m32int;;;;;DA;;6
FIDIVR;ST;m32int;;;;;DA;;7
FILD;ST;m32int;;;;;DB;;0
